step,image_filename,action,inference_time
0,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0000.jpg,forward,0.18881821632385254
1,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0001.jpg,left,0.07086730003356934
2,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0002.jpg,left,0.052248477935791016
3,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0003.jpg,forward,0.05476093292236328
4,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0004.jpg,forward,0.05523943901062012
5,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0005.jpg,right,0.048197269439697266
6,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0006.jpg,forward,0.046269893646240234
7,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0007.jpg,forward,0.04610133171081543
8,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0008.jpg,left,0.07060575485229492
9,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0009.jpg,left,0.06404352188110352
10,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0010.jpg,right,0.07123136520385742
11,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0011.jpg,left,0.05923342704772949
12,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0012.jpg,right,0.05950212478637695
13,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0013.jpg,left,0.0519099235534668
14,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0014.jpg,right,0.055394887924194336
15,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0015.jpg,left,0.05450749397277832
16,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0016.jpg,right,0.05589604377746582
17,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0017.jpg,forward,0.04930448532104492
18,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0018.jpg,left,0.046567678451538086
19,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0019.jpg,right,0.05641984939575195
20,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0020.jpg,forward,0.04811739921569824
21,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0021.jpg,left,0.05057382583618164
22,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0022.jpg,right,0.049367427825927734
23,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0023.jpg,forward,0.05946707725524902
24,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0024.jpg,forward,0.05491352081298828
25,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0025.jpg,forward,0.056793928146362305
26,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0026.jpg,forward,0.048708438873291016
27,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0027.jpg,left,0.05979466438293457
28,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0028.jpg,right,0.05269789695739746
29,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0029.jpg,left,0.0590360164642334
30,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0030.jpg,right,0.05053257942199707
31,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0031.jpg,left,0.05398988723754883
32,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0032.jpg,right,0.06189227104187012
33,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0033.jpg,forward,0.04835844039916992
34,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0034.jpg,left,0.054413795471191406
35,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0035.jpg,right,0.04701375961303711
36,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0036.jpg,left,0.05387616157531738
37,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0037.jpg,right,0.05911517143249512
38,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0038.jpg,forward,0.04781532287597656
39,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0039.jpg,forward,0.05918622016906738
40,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0040.jpg,forward,0.05140233039855957
41,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0041.jpg,forward,0.05466794967651367
42,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0042.jpg,forward,0.060080528259277344
43,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0043.jpg,left,0.06373023986816406
44,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0044.jpg,forward,0.05143427848815918
45,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0045.jpg,forward,0.05081510543823242
46,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0046.jpg,forward,0.053878068923950195
47,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0047.jpg,left,0.0491487979888916
48,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0048.jpg,forward,0.04607963562011719
49,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0049.jpg,left,0.04485750198364258
50,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0050.jpg,forward,0.05197000503540039
51,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0051.jpg,left,0.0527653694152832
52,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0052.jpg,left,0.06055474281311035
53,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0053.jpg,forward,0.0569310188293457
54,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0054.jpg,forward,0.055794715881347656
55,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0055.jpg,left,0.05183529853820801
56,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0056.jpg,forward,0.062331199645996094
57,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0057.jpg,left,0.053911447525024414
58,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0058.jpg,forward,0.04917788505554199
59,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0059.jpg,left,0.05344867706298828
60,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0060.jpg,forward,0.056497812271118164
61,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0061.jpg,left,0.044619083404541016
62,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0062.jpg,forward,0.06345415115356445
63,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0063.jpg,left,0.06449651718139648
64,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0064.jpg,forward,0.04293465614318848
65,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0065.jpg,left,0.04662656784057617
66,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0066.jpg,forward,0.046710968017578125
67,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0067.jpg,left,0.056127071380615234
68,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0068.jpg,forward,0.056852102279663086
69,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0069.jpg,left,0.057795047760009766
70,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0070.jpg,forward,0.05674886703491211
71,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0071.jpg,left,0.055483341217041016
72,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0072.jpg,forward,0.05660057067871094
73,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0073.jpg,left,0.07268118858337402
74,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0074.jpg,forward,0.06935715675354004
75,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0075.jpg,forward,0.06299424171447754
76,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0076.jpg,left,0.04952836036682129
77,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0077.jpg,forward,0.050323486328125
78,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0078.jpg,forward,0.05261063575744629
79,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0079.jpg,forward,0.04791879653930664
80,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0080.jpg,forward,0.05256152153015137
81,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0081.jpg,forward,0.06329703330993652
82,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0082.jpg,left,0.06004619598388672
83,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0083.jpg,forward,0.058309078216552734
84,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0084.jpg,left,0.05505514144897461
85,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0085.jpg,forward,0.05043435096740723
86,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0086.jpg,forward,0.06923079490661621
87,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0087.jpg,forward,0.05506181716918945
88,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0088.jpg,forward,0.04984617233276367
89,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0089.jpg,forward,0.047933340072631836
90,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0090.jpg,forward,0.06369948387145996
91,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0091.jpg,forward,0.05277848243713379
92,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0092.jpg,forward,0.04812002182006836
93,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0093.jpg,forward,0.05780196189880371
94,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0094.jpg,forward,0.05450701713562012
95,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0095.jpg,right,0.07120990753173828
96,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0096.jpg,right,0.06117844581604004
97,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0097.jpg,right,0.05248141288757324
98,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0098.jpg,forward,0.05009174346923828
99,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0099.jpg,forward,0.04768848419189453
100,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0100.jpg,forward,0.05701947212219238
101,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0101.jpg,forward,0.05501866340637207
102,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0102.jpg,right,0.050803422927856445
103,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0103.jpg,forward,0.05400204658508301
104,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0104.jpg,right,0.05018115043640137
105,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0105.jpg,forward,0.04980635643005371
106,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0106.jpg,forward,0.04448056221008301
107,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0107.jpg,right,0.05434274673461914
108,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0108.jpg,forward,0.055455684661865234
109,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0109.jpg,right,0.04873013496398926
110,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0110.jpg,right,0.058678627014160156
111,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0111.jpg,forward,0.05323457717895508
112,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0112.jpg,right,0.06246304512023926
113,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0113.jpg,right,0.04622817039489746
114,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0114.jpg,forward,0.050080060958862305
115,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0115.jpg,right,0.062227725982666016
116,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0116.jpg,right,0.04241180419921875
117,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0117.jpg,forward,0.05456376075744629
118,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0118.jpg,forward,0.043543338775634766
119,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0119.jpg,forward,0.04529929161071777
120,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0120.jpg,forward,0.05894589424133301
121,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0121.jpg,forward,0.050000905990600586
122,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0122.jpg,forward,0.0530397891998291
123,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0123.jpg,forward,0.04401683807373047
124,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0124.jpg,forward,0.05810213088989258
125,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0125.jpg,forward,0.05014824867248535
126,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0126.jpg,left,0.048027753829956055
127,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0127.jpg,forward,0.060541391372680664
128,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0128.jpg,forward,0.05373024940490723
129,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0129.jpg,left,0.04300975799560547
130,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0130.jpg,forward,0.05823111534118652
131,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0131.jpg,left,0.05327486991882324
